Activity,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS
4.77,269.3692276,13349.667999999998,20.649488719071464,160.99562615912632,411.946729436374,109.59026150345052,1392.3549854101564,63.0053714858271,2429.1079210219814,49.47148394581421,165.16234509999995,1734.329026261897,572.0425914931641,3643.93282726109,255.96899999999994,74.67762571607261,69.14547188958034,31.187211496060364,71.99896889886686
2.96,164.95627296,7684.635,17.389834514517673,82.667864670593,164.5088636724865,59.91896407419241,462.90594600000003,62.6969993107102,1971.998800906446,37.50220281618735,121.24517936999999,1383.8965622132057,233.2437556875,2727.3364921229463,130.81499999999997,59.32319258469782,66.31741695436637,24.043104549537688,48.50487445092503
3.19,245.00578215999997,11825.761999999999,20.210351997433982,145.66501969171293,363.75611121682203,100.47456690039236,1178.0660585000003,62.895624578552926,2389.454288194701,48.27651832589877,148.16205854,1581.0945991059612,488.4844119375001,3499.148492708619,225.41999999999996,72.90125023098373,68.05736267898264,29.80062328878374,68.39162751389968
3.48,249.68088455999998,13284.562999999998,22.604004990912365,136.64135706597216,360.4035864030962,94.59301293782798,1215.7508955625,20.879563521739176,2497.4442679333442,53.55611267954138,102.31606238999998,1559.6593550119526,475.35818271875,3717.1565111007903,277.89899999999994,70.05337700820817,30.18262072192864,34.1485017476609,78.06362608795469
5.31,281.87827496,15300.572999999999,22.957196920035898,155.98150446186267,412.18613063213184,106.07710621825484,1459.351733640625,21.73718563014107,2675.957377334459,54.436233474934134,118.98077422999998,1714.8102937901906,574.9023368671877,4044.4329303477766,303.9089999999999,74.66000507740327,32.40835276461758,35.3650276984198,80.72641934645682
5.62,271.96930488,14685.443000000001,23.278009029568086,156.55558951435958,413.59051181184145,106.45074324926094,1464.6196832500002,21.31482198842864,2577.785552694551,54.8541518148425,115.24238862999997,1657.0395026318927,577.0694148750001,3886.413553870265,308.9069999999999,71.99693381047052,31.565339535686544,35.96956836577275,81.68457632564423
4.32,291.42675904,14357.321399999997,23.5385225447577,127.57707194979496,338.35839195601795,89.59022484086381,1123.9330681289066,30.71518325305349,2709.6563025648984,54.46917902125624,120.21919043,1640.3029016685364,435.3539005136719,3986.571553251676,283.6997999999999,82.7925786351545,39.3035377406941,35.87303067110444,78.90166025325449
7.92,819.8413183599998,36010.248999999996,28.443887838160077,251.57078758149916,677.9362269770118,147.4641919748979,3656.7194939480746,37.091674165474096,3810.7356328001256,69.45726764280516,313.72852255,2544.1649500341123,1391.3001648454601,6511.800545686885,668.7629999999999,165.64346841460736,60.70045236520145,49.76626913804169,118.80551528864306
6.41,753.8486067599998,32285.793999999998,27.762678649961813,232.2242560961422,633.5067930159504,137.53297430622882,3275.138915977901,36.57706435723219,3725.979965129382,68.78147191715351,281.6777791,2377.287454929111,1225.534900048423,6225.511424680947,614.244,162.33854436949946,58.53318913549234,47.58599431145682,115.69943223715491
9.6,1417.3355386799992,50429.884,28.904145582868434,331.91902746739646,985.1636484878428,190.13598200195145,5770.015192986763,48.97382022713539,4716.672265789521,76.31664935997044,479.22713645999977,2862.1112562976696,1985.9853793033124,8363.328399733147,848.3340000000004,254.87135532163518,84.50674547872296,51.838710604238614,136.6085242215873
