Activity,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS
2.87,236.385,51.6441609207177,322.0510172500001,27.779807506558143,32.88700593106645,3270.4979080361754,113.9271,792.513849125,44.19107807047381,179.00551269417275,62.51670952531182,4431.478,19.951691409703784,1387.2635883867922,2303.1622874137324,85.61814190999999,68.6324938196261
4.96,238.42499999999995,49.050505516529704,569.4400800000001,68.55106704106494,30.50179756424201,3710.545956333448,109.92129999999999,1399.5618880000002,51.461518398282365,304.81551060752173,75.39910408071142,5772.2676999999985,62.94270230227651,1659.481440489254,2530.4588124896004,156.34935581999997,114.5039223167868
2.74,225.41999999999996,48.27651832589877,495.64730487500003,68.05736267898266,29.80062328878374,3499.148492708619,103.41879999999999,1206.5652112500002,50.12069178884418,268.13718967640284,72.9021049021589,5268.265199999999,62.895624578552926,1581.0945991059612,2389.454288194701,148.16205853999998,102.488477458879
2.96,262.395,52.58890661196682,420.89076131249993,30.183247677702344,34.1485017476609,3638.1783582627586,126.93209999999999,1033.3052710625002,46.3636496235388,219.5437638931178,67.3252764329194,5439.482999999999,20.885643775381038,1559.6593550119526,2509.403606865237,102.28285374999999,84.26822936537289
2.98,275.4,52.85268849591541,465.0185349472658,31.351156246550524,34.76208678805114,3775.23719076782,133.4346,1136.103819761719,47.05868033921529,234.27530129197027,69.3760171738867,5943.485499999999,21.341192735168484,1639.071634701348,2562.4884972759487,110.76026830999999,90.20954557794674
3.26,366.4349999999999,57.92729620347919,670.9877739055405,51.59277099995083,36.54107547144719,5191.660798518043,152.94209999999995,1860.1639068105317,103.33701369553043,323.5304200703904,149.88494870834913,7455.492999999998,34.681583716637356,1857.0437215373527,3379.303457356439,191.77201491,111.19002639953064
3.35,214.76099999999997,48.08112403824545,381.0150227421876,26.995201522263994,29.780768152450328,3266.7799663136175,99.5015,964.8382893906253,43.41675644639923,231.65549238833066,61.77424734199726,4410.7978,19.112253753329828,1396.017814949286,2286.492847393357,84.28270183,86.38697580945892
3.38,253.77599999999995,50.023166515181856,536.2325658671874,30.196439655062452,31.83931014485081,3818.525126209791,119.00899999999999,1351.1966441406255,46.09480754988029,288.82190443966397,67.77818955287671,5922.805299999999,20.371573844756206,1646.4875643850244,2598.6653853654225,107.47433830999998,105.86531739014914
3.89,266.78099999999995,50.3144667804951,580.5732225625002,31.363856992785948,32.49652561044026,3949.330097563446,125.51149999999998,1454.64867925,46.7977874666965,300.313605114971,69.81562784368623,6426.807799999999,20.849618462369687,1721.9000608864555,2648.2677968530515,115.95175286999998,110.31326901214473
3.22,303.2969999999999,53.358687733155605,579.6673465333254,49.795223978181035,32.49652561044026,4879.338138227151,125.51149999999998,1618.8048157693486,102.5709089196309,312.2386810619441,146.19876830438946,6426.807799999998,34.08345978185739,1721.9000608864558,3270.049566730981,173.73865435,106.16046935973073
3.72,316.3019999999999,54.0887817107883,631.962145426941,50.232834464912486,33.1407103575044,5017.672593771239,132.01399999999998,1751.5948545962522,102.6579866249764,323.8398506140436,146.72356411020505,6930.810299999997,34.17063116042957,1794.1455737166452,3331.5521490827355,180.26557899,110.80368319937297
4.28,342.3119999999999,54.95205915376767,728.4108767431335,51.60085652052105,34.39290181854389,5264.714945592544,145.01899999999995,1985.1049298107296,103.07842663930343,342.3764105329148,148.8351611619915,7938.815299999997,34.500968411276254,1930.5427681612057,3435.906182311889,196.93029083000002,118.64716374405144
4.77,255.96899999999994,49.47148394581421,572.0425914931641,69.14547188958034,31.187211496060364,3643.93282726109,116.42379999999999,1392.3549854101564,50.44014474062066,290.2075674633797,74.67762571607261,6276.270199999998,63.0053714858271,1734.329026261897,2429.1079210219814,165.16234509999995,109.59026150345052
2.96,130.81499999999997,37.50220281618735,233.2437556875,66.31741695436637,24.043104549537688,2727.3364921229463,69.33859999999999,462.90594600000003,43.55709468754718,119.06929571762963,59.32319258469782,3884.8801000000003,62.6969993107102,1383.8965622132057,1971.998800906446,121.24517936999999,59.91896407419241
3.19,225.41999999999996,48.27651832589877,488.4844119375001,68.05736267898264,29.80062328878374,3499.148492708619,103.41879999999999,1178.0660585000003,50.119806475739516,257.21956100787224,72.90125023098373,5268.265199999999,62.895624578552926,1581.0945991059612,2389.454288194701,148.16205854,100.47456690039236
3.48,277.89899999999994,53.55611267954138,475.35818271875,30.18262072192864,34.1485017476609,3717.1565111007903,126.93209999999999,1215.7508955625,47.35633232503845,254.4351433857517,70.05337700820817,5439.482999999999,20.879563521739176,1559.6593550119526,2497.4442679333442,102.31606238999998,94.59301293782798
5.31,303.9089999999999,54.436233474934134,574.9023368671877,32.40835276461758,35.3650276984198,4044.4329303477766,139.9371,1459.351733640625,49.609415848885,287.5026955992919,74.66000507740327,6447.4879999999985,21.73718563014107,1714.8102937901906,2675.957377334459,118.98077422999998,106.07710621825484
5.62,308.9069999999999,54.8541518148425,577.0694148750001,31.565339535686544,35.96956836577275,3886.413553870265,142.6762,1464.6196832500002,47.838923829011776,288.4457333251809,71.99693381047052,6186.8454999999985,21.31482198842864,1657.0395026318927,2577.785552694551,115.24238862999997,106.45074324926094
